Index,Date, Nikkei Open,STI Open
1130,06/25/14,15297.24,3261.34
1131,06/26/14,15320.13,3266.7
,06/26/17,20132.81,#N/A
1133,06/27/14,15290.75,3271.86
1134,06/30/14,15159.45,3260.95
1135,7/1/2014,15179.64,3255.65
1136,7/2/2014,15406.23,3254.49
1137,7/3/2014,15435.34,3265.42
1138,7/4/2014,15490.37,3282.23
1139,7/7/2014,15433.49,3280.66
1140,7/8/2014,15304.27,3288.59
1141,7/9/2014,15194.32,3280.45
1142,7/10/2014,15318.3,3282.27
1143,7/11/2014,15102.59,3274.49
1144,07/14/14,15199.18,3289.68
1145,07/15/14,15354.43,3296.54
1146,07/16/14,15369.66,3297.04
1147,07/17/14,15422.87,3305.88
1148,07/18/14,15174.08,3295.22
1149,07/22/14,15296.42,3311.68
1150,07/23/14,15367.16,3327.54
1151,07/24/14,15350.28,3346.88
1152,07/25/14,15342.46,3357.11
1153,07/29/14,15564.79,3351.22
1154,07/30/14,15616.89,3356.07
1155,07/31/14,15732.78,3353.7
1156,8/1/2014,15511.54,3346.41
1157,8/4/2014,15474.65,3339.85
1158,8/5/2014,15506.87,3326.91
1159,8/6/2014,15260,3322.58
1160,8/7/2014,15138.72,3316.35
1161,8/8/2014,15063.73,3303.06
1162,8/11/2014,15022.64,3301.9
1163,8/12/2014,15164.73,3314.9
1164,08/13/14,15111.76,3298.8
,5/10/2017,19890.56,#N/A
1166,08/14/14,15284.38,3308.06
1167,08/15/14,15317.15,3300.91
1168,08/18/14,15318.5,3310.41
,5/1/2017,19154.03,#N/A
1170,08/19/14,15451.94,3318.68
1171,08/20/14,15485.93,3325.3
1172,08/21/14,15530.98,3327.47
1173,08/22/14,15618.05,3332.23
1174,08/25/14,15609.43,3331.91
1175,08/26/14,15609.64,3325.76
1176,08/27/14,15556.56,3335.6
1177,08/28/14,15482.27,3348.25
1178,08/29/14,15423.88,3334.96
1179,9/1/2014,15454.59,3326.66
,04/14/17,18531.91,#N/A
1181,9/2/2014,15526.94,3318.11
1182,9/3/2014,15797.79,3332.48
1183,9/4/2014,15701.61,3341.14
1184,9/5/2014,15792.64,3348.12
1185,9/8/2014,15718.13,3341.18
1186,9/9/2014,15795.82,3332.89
1187,9/10/2014,15688.55,3336
1188,9/11/2014,15880.91,3343.61
1189,9/12/2014,15885.04,3342.41
1190,09/16/14,15896.06,3313.48
1191,09/17/14,15948.15,3283.22
1192,09/18/14,16036.47,3302.12
1193,09/19/14,16177.94,3302.61
1194,09/22/14,16281.36,3307.31
1195,09/24/14,16105.56,3291.69
1196,09/25/14,16327.19,3301.69
1197,09/26/14,16087.95,3276.84
1198,09/29/14,16339.03,3290.82
1199,09/30/14,16252.72,3272.62
1200,10/1/2014,16173.39,3267.96
1201,10/2/2014,15895.2,3252.35
1202,10/3/2014,15616.48,3226.5
1203,10/7/2014,15841.17,3260.72
1204,10/8/2014,15574.6,3227.62
1205,10/9/2014,15681.53,3242.47
1206,10/10/2014,15292.88,3231.63
1207,10/14/14,15036.87,3192.39
1208,10/15/14,15009.75,3199.63
1209,10/16/14,14805.16,3179.35
1210,10/17/14,14796.32,3154.39
1211,10/20/14,14822.84,3184.66
1212,10/21/14,15115.29,3182.86
1213,10/23/14,15093.78,3222.71
1214,10/24/14,15354.35,3230.03
1215,10/27/14,15404.28,3231.81
1216,10/28/14,15363.28,3221.08
1217,10/29/14,15442.39,3217.74
1218,10/30/14,15596.5,3225.6
1219,10/31/14,15817.14,3237.35
1220,11/4/2014,16732.85,3292.1
1221,11/5/2014,16785.44,3275.99
1222,11/6/2014,16993.46,3287.59
1223,11/7/2014,16934.04,3295.48
1224,11/10/2014,16758.27,3306.56
1225,11/11/2014,16869.49,3306.68
1226,11/12/2014,17253.12,3289.32
1227,11/13/14,17192,3288.34
1228,11/14/14,17520.54,3313.31
1229,11/17/14,17381.38,3310.53
1230,11/18/14,17188.84,3297.91
1231,11/19/14,17384.31,3327.78
1232,11/20/14,17407.69,3337.5
,01/30/17,19371.28,#N/A
1234,11/21/14,17285.72,3329.3
1235,11/25/14,17490.39,3344.03
1236,11/26/14,17347.97,3342.87
1237,11/27/14,17310.49,3348.64
1238,11/28/14,17340.16,3346.52
1239,12/1/2014,17475.1,3352.32
1240,12/2/2014,17481.06,3324.94
1241,12/3/2014,17772.15,3323.97
1242,12/4/2014,17821.85,3318.68
1243,12/5/2014,17821.85,3300.26
1244,12/8/2014,18004.66,3321.42
1245,12/9/2014,17820.24,3312.86
1246,12/10/2014,17623.35,3320.78
1247,12/11/2014,17180.49,3318.65
1248,12/12/2014,17317.69,3320.62
1249,12/15/14,17111.49,3312.48
1250,12/16/14,16862.42,3274.08
1251,12/17/14,16689.34,3220.13
1252,12/18/14,17142.95,3247.06
1253,12/19/14,17511.01,3262.54
1254,12/22/14,17685.53,3293.72
,12/26/16,19394.41,#N/A
1256,12/24/14,17842.04,3336.41
1257,12/26/14,17778.91,3340.76
1258,12/29/14,17914.55,3360.64
1259,12/30/14,17702.12,3370.77
1260,1/5/2015,17325.68,3368.38
1261,1/6/2015,17101.58,3294.24
1262,1/7/2015,16808.26,3281.94
1263,1/8/2015,17067.4,3303.65
1264,1/9/2015,17318.74,3368.42
1265,01/13/15,16970.88,3334.06
1266,01/14/15,16961.82,3336.43
1267,01/15/15,16872.95,3330.75
1268,01/16/15,16812.96,3325.53
1269,01/19/15,17000.78,3318.59
1270,01/20/15,17071.65,3315.57
1271,01/21/15,17308.72,3336.58
1272,01/22/15,17306.64,3352.2
1273,01/23/15,17520.63,3390.46
1274,01/26/15,17285.71,3409.36
1275,01/27/15,17649.4,3414.48
